epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2352.5,0.81165,0.46923,0.84842,0.97864,0.32,0.41489,0.30599,0.87476,0.40676,0.99095,0.000614,0.000614,0.000614
72,2384.58,0.78688,0.45962,0.85768,1,0.35399,0.5203,0.3402,0.95671,0.41936,1.03986,0.0005942,0.0005942,0.0005942
73,2418.1,0.77953,0.47177,0.85649,0.9849,0.32,0.47341,0.34005,0.94002,0.43023,1.05015,0.0005744,0.0005744,0.0005744
74,2451.14,0.76574,0.45134,0.85093,0.98278,0.32,0.4283,0.30999,0.95613,0.4506,1.03295,0.0005546,0.0005546,0.0005546
75,2483.37,0.76217,0.46101,0.85845,0.98779,0.32,0.46023,0.31987,0.99473,0.42364,1.02554,0.0005348,0.0005348,0.0005348
76,2515.56,0.79277,0.46668,0.85013,0.99495,0.28,0.45687,0.32038,1.03746,0.44285,1.04917,0.000515,0.000515,0.000515
77,2547.12,0.7222,0.45287,0.85568,0.88441,0.30711,0.46751,0.33818,1.01266,0.42492,1.02949,0.0004952,0.0004952,0.0004952
78,2579.76,0.77334,0.45329,0.84384,0.89797,0.32,0.5405,0.3511,0.9576,0.3888,1.0075,0.0004754,0.0004754,0.0004754
79,2611.4,0.69966,0.41689,0.83615,0.81651,0.35633,0.46023,0.33314,0.94895,0.38903,1.01011,0.0004556,0.0004556,0.0004556
80,2643.4,0.73788,0.43713,0.8498,0.88999,0.32,0.51694,0.34933,0.93086,0.3734,0.98173,0.0004358,0.0004358,0.0004358
81,2676.77,0.7213,0.43294,0.84815,0.78825,0.32,0.48325,0.35752,0.95602,0.42539,1.0087,0.000416,0.000416,0.000416
82,2710.07,0.72594,0.43406,0.83587,1,0.359,0.51285,0.34539,0.95458,0.37274,1.03893,0.0003962,0.0003962,0.0003962
83,2743.64,0.69914,0.41894,0.84089,1,0.35606,0.47687,0.34699,0.90894,0.39924,1.0108,0.0003764,0.0003764,0.0003764
84,2777.12,0.70272,0.42051,0.84854,0.57895,0.44,0.56794,0.40142,0.85627,0.41051,1.00316,0.0003566,0.0003566,0.0003566
85,2811.37,0.70227,0.4201,0.83365,1,0.35393,0.54886,0.39894,0.91443,0.37873,1.02771,0.0003368,0.0003368,0.0003368
86,2843,0.71137,0.439,0.83515,0.98752,0.28,0.43469,0.34492,0.92567,0.39356,1.01583,0.000317,0.000317,0.000317
87,2875.61,0.76911,0.43898,0.84878,1,0.31596,0.45867,0.34167,0.88568,0.38393,1.03157,0.0002972,0.0002972,0.0002972
88,2910.89,0.69395,0.42263,0.83792,0.99055,0.32,0.46481,0.33081,0.88217,0.36102,1.02241,0.0002774,0.0002774,0.0002774
