epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,971.069,1.41876,2.68953,0.92382,0.66379,0.30973,0.40613,0.26298,1.71368,4.18147,1.09362,0.0013136,0.0013136,0.0013136
106,978.777,1.4629,2.8497,0.93896,0.72732,0.26549,0.36385,0.24366,1.82445,5.62164,1.12118,0.001307,0.001307,0.001307
107,986.465,1.43611,2.83488,0.93405,0.74239,0.29204,0.38872,0.25603,1.77133,5.11459,1.15737,0.0013004,0.0013004,0.0013004
108,994.095,1.46879,2.89207,0.92683,0.6423,0.30194,0.38392,0.23295,1.79779,4.72419,1.13955,0.0012938,0.0012938,0.0012938
109,1001.74,1.46056,2.86381,0.93951,0.91166,0.27434,0.40157,0.2574,1.69858,4.3777,1.08145,0.0012872,0.0012872,0.0012872
110,1009.49,1.40724,2.77489,0.93975,0.87476,0.30906,0.42041,0.27278,1.78645,4.41867,1.11558,0.0012806,0.0012806,0.0012806
111,1017.11,1.45166,2.77943,0.93881,0.78808,0.28319,0.38739,0.23616,1.81681,4.96403,1.10947,0.001274,0.001274,0.001274
112,1024.76,1.50674,2.91732,0.94959,0.91685,0.23009,0.35424,0.22791,1.75832,4.5032,1.12897,0.0012674,0.0012674,0.0012674
113,1032.37,1.50115,2.93382,0.94437,0.70102,0.23894,0.34821,0.23372,1.77669,5.17828,1.11309,0.0012608,0.0012608,0.0012608
114,1040.1,1.46995,2.75867,0.92491,0.65238,0.30973,0.40726,0.24439,1.85052,5.35908,1.10331,0.0012542,0.0012542,0.0012542
115,1047.79,1.43457,2.83635,0.92822,0.68049,0.27434,0.37988,0.26105,1.66502,4.16922,1.06663,0.0012476,0.0012476,0.0012476
116,1055.54,1.3854,2.68273,0.91175,0.89819,0.23894,0.35216,0.24241,1.65632,4.33046,1.08475,0.001241,0.001241,0.001241
117,1063.16,1.40616,2.75468,0.92545,0.68006,0.29204,0.40696,0.2884,1.63821,4.56609,1.07584,0.0012344,0.0012344,0.0012344
118,1070.85,1.41933,2.7814,0.93424,0.67069,0.29204,0.40073,0.26583,1.65799,4.56408,1.06264,0.0012278,0.0012278,0.0012278
119,1078.52,1.39326,2.68514,0.92772,0.81594,0.30088,0.38347,0.25674,1.66616,4.39045,1.09558,0.0012212,0.0012212,0.0012212
120,1086.15,1.41032,2.76124,0.92922,0.75039,0.29204,0.39068,0.24538,1.82944,5.15938,1.13516,0.0012146,0.0012146,0.0012146
121,1093.77,1.37233,2.63488,0.91881,0.74216,0.30973,0.39473,0.25038,1.74106,4.50407,1.13397,0.001208,0.001208,0.001208
122,1101.48,1.38261,2.61405,0.91068,0.84973,0.25026,0.37381,0.24989,1.71977,4.79975,1.10077,0.0012014,0.0012014,0.0012014
123,1109.15,1.3625,2.71591,0.92461,0.67898,0.26549,0.38624,0.26467,1.72882,5.09153,1.09944,0.0011948,0.0011948,0.0011948
124,1116.78,1.37689,2.65396,0.91942,0.86537,0.23009,0.34079,0.22711,1.72376,4.74316,1.06988,0.0011882,0.0011882,0.0011882
125,1124.41,1.37032,2.61257,0.92357,0.86917,0.26549,0.41112,0.28691,1.69086,4.67338,1.07359,0.0011816,0.0011816,0.0011816
126,1132.06,1.37342,2.61461,0.91967,0.59182,0.27434,0.38433,0.25604,1.74383,5.01196,1.1103,0.001175,0.001175,0.001175
127,1139.68,1.35517,2.57856,0.90591,0.67993,0.26549,0.40115,0.26395,1.72479,5.38281,1.11592,0.0011684,0.0011684,0.0011684
128,1147.43,1.36453,2.68117,0.91835,0.7111,0.28319,0.40359,0.26472,1.62226,4.69256,1.07236,0.0011618,0.0011618,0.0011618
129,1155.04,1.36049,2.58722,0.91449,0.71814,0.30088,0.41418,0.26472,1.77993,4.18466,1.11765,0.0011552,0.0011552,0.0011552
130,1162.77,1.4204,2.84886,0.93722,0.59795,0.30973,0.43481,0.26173,1.80769,4.76951,1.12248,0.0011486,0.0011486,0.0011486
131,1170.38,1.37683,2.66776,0.91154,0.73039,0.29204,0.42681,0.2716,1.65613,4.65939,1.09275,0.001142,0.001142,0.001142
132,1178.16,1.39026,2.61105,0.92298,0.78177,0.23894,0.35006,0.23247,1.79341,5.08446,1.12009,0.0011354,0.0011354,0.0011354
133,1185.77,1.34036,2.54042,0.91351,0.79429,0.30757,0.44715,0.28319,1.7846,4.7314,1.09024,0.0011288,0.0011288,0.0011288
134,1193.5,1.41398,2.70302,0.92459,0.62621,0.26549,0.36954,0.23659,1.70095,4.67728,1.08526,0.0011222,0.0011222,0.0011222
135,1201.23,1.3951,2.70011,0.91465,0.90302,0.24722,0.40571,0.27342,1.70836,4.83269,1.09673,0.0011156,0.0011156,0.0011156
136,1209.38,1.43149,2.76635,0.93128,0.50994,0.29204,0.39201,0.25847,1.74798,4.20435,1.09503,0.001109,0.001109,0.001109
137,1217.46,1.38664,2.63584,0.92027,0.6604,0.32743,0.43769,0.28486,1.76099,4.69211,1.11582,0.0011024,0.0011024,0.0011024
138,1225.56,1.35243,2.60795,0.91707,0.63603,0.30929,0.39055,0.25494,1.75014,4.28963,1.0908,0.0010958,0.0010958,0.0010958
139,1233.68,1.30145,2.42387,0.90357,0.60413,0.28362,0.37509,0.23375,1.81205,5.2318,1.10807,0.0010892,0.0010892,0.0010892
140,1241.44,1.36917,2.6121,0.91706,0.71259,0.28526,0.43566,0.29822,1.69701,4.66255,1.10364,0.0010826,0.0010826,0.0010826
141,1249.14,1.29327,2.44273,0.90438,0.68941,0.27434,0.35743,0.24158,1.67018,4.3629,1.08747,0.001076,0.001076,0.001076
142,1256.77,1.38021,2.62353,0.9163,0.63373,0.30973,0.39173,0.24854,1.67942,4.47261,1.06487,0.0010694,0.0010694,0.0010694
143,1264.39,1.31301,2.42461,0.8988,0.90329,0.24779,0.37529,0.23896,1.66018,4.4446,1.06342,0.0010628,0.0010628,0.0010628
144,1272,1.35403,2.60806,0.90703,0.375,0.37168,0.42146,0.27484,1.71957,5.48668,1.06969,0.0010562,0.0010562,0.0010562
145,1279.9,1.34792,2.54637,0.91507,0.79833,0.30973,0.43206,0.28899,1.66031,4.80927,1.07612,0.0010496,0.0010496,0.0010496
146,1287.6,1.3446,2.52078,0.9084,0.8362,0.29204,0.42742,0.27233,1.66851,4.35932,1.1156,0.001043,0.001043,0.001043
147,1295.21,1.29121,2.48422,0.90137,0.70062,0.30088,0.4573,0.28984,1.71742,4.89241,1.11006,0.0010364,0.0010364,0.0010364
148,1302.84,1.3652,2.60278,0.917,0.82878,0.25664,0.37308,0.24378,1.81166,4.95801,1.13331,0.0010298,0.0010298,0.0010298
149,1310.45,1.40084,2.59752,0.93231,0.69531,0.26549,0.41132,0.26905,1.7399,5.00744,1.10389,0.0010232,0.0010232,0.0010232
150,1318.13,1.345,2.57926,0.92715,0.63938,0.31385,0.4089,0.2473,1.6756,4.47943,1.08637,0.0010166,0.0010166,0.0010166
151,1325.8,1.303,2.50834,0.90401,0.62066,0.28319,0.40909,0.26477,1.67355,4.81798,1.07165,0.00101,0.00101,0.00101
152,1333.55,1.23923,2.42359,0.90469,0.64807,0.28319,0.40205,0.26934,1.72436,4.49822,1.11876,0.0010034,0.0010034,0.0010034
153,1341.78,1.27109,2.4702,0.90639,0.73788,0.26549,0.40516,0.27086,1.6843,4.61383,1.09512,0.0009968,0.0009968,0.0009968
154,1350.19,1.31715,2.54305,0.91395,0.77825,0.27958,0.41825,0.26508,1.69102,4.31732,1.06286,0.0009902,0.0009902,0.0009902
155,1358.2,1.26323,2.43662,0.89457,0.77921,0.28113,0.37776,0.24274,1.70275,4.3679,1.07183,0.0009836,0.0009836,0.0009836
156,1366.3,1.30264,2.39935,0.90285,0.79489,0.26549,0.40043,0.27341,1.68807,4.95108,1.09371,0.000977,0.000977,0.000977
157,1374.09,1.26281,2.35206,0.89361,0.64691,0.25664,0.40751,0.26842,1.74553,5.40366,1.07938,0.0009704,0.0009704,0.0009704
158,1381.78,1.29981,2.47271,0.89883,0.77852,0.30088,0.43371,0.27929,1.73195,5.26138,1.07367,0.0009638,0.0009638,0.0009638
159,1389.5,1.2492,2.37529,0.90035,0.74394,0.30088,0.43457,0.27748,1.7938,5.35212,1.11609,0.0009572,0.0009572,0.0009572
160,1397.3,1.26555,2.35984,0.89897,0.64993,0.30088,0.43931,0.27377,1.76483,5.21452,1.14131,0.0009506,0.0009506,0.0009506
161,1405.28,1.30884,2.45076,0.9061,0.78795,0.24779,0.38381,0.24765,1.78187,4.81389,1.11787,0.000944,0.000944,0.000944
162,1413.65,1.29221,2.37509,0.90178,0.6474,0.27434,0.40178,0.25882,1.68829,5.35086,1.08434,0.0009374,0.0009374,0.0009374
163,1422.14,1.29485,2.43469,0.89723,0.7824,0.27434,0.39581,0.26745,1.64281,4.5588,1.07977,0.0009308,0.0009308,0.0009308
164,1430.88,1.32876,2.58838,0.90745,0.68972,0.30088,0.37451,0.25288,1.69379,4.65888,1.09663,0.0009242,0.0009242,0.0009242
165,1440.16,1.33024,2.5628,0.90858,0.84457,0.26549,0.3855,0.26579,1.75451,4.99758,1.09314,0.0009176,0.0009176,0.0009176
166,1448.2,1.28307,2.47141,0.90607,0.86056,0.27311,0.41422,0.26282,1.74668,5.1566,1.09591,0.000911,0.000911,0.000911
167,1456.76,1.24725,2.37504,0.89324,0.68139,0.30973,0.39639,0.26851,1.77149,4.67291,1.081,0.0009044,0.0009044,0.0009044
168,1465.29,1.24243,2.35926,0.88733,0.67345,0.25664,0.39923,0.26979,1.60861,4.3612,1.03907,0.0008978,0.0008978,0.0008978
169,1473.25,1.16593,2.18528,0.87867,0.77007,0.29204,0.4111,0.26912,1.65809,4.16967,1.0893,0.0008912,0.0008912,0.0008912
170,1482.49,1.23762,2.39251,0.89572,0.86981,0.24779,0.37886,0.23971,1.69082,4.83681,1.10442,0.0008846,0.0008846,0.0008846
171,1492.19,1.23566,2.33496,0.89945,0.7576,0.26549,0.37673,0.23971,1.75875,4.49215,1.11467,0.000878,0.000878,0.000878
172,1501.71,1.25149,2.30241,0.89086,0.72979,0.26296,0.40151,0.26388,1.72134,4.28053,1.10303,0.0008714,0.0008714,0.0008714
173,1511.5,1.26394,2.40858,0.88944,0.88091,0.26191,0.40853,0.28281,1.68703,4.57617,1.08148,0.0008648,0.0008648,0.0008648
